vid,id,product_id,body,rate,done
27,43184164,9424170,خیلی خفنه و با کیفیته,5,f
28,43171022,9424170,"بعد از یه هفته استفاده واقعا راضی ام 
همه چی عالی 
بند آلپاین رو تا حالا استفاده نکرده بودم نسبت به بند های سیلیکونی زمین تا آسمون و از همه خوب تر واج فیس های خفنشه",5,f
29,43146566,9424170,قشنگ بود خیلی,5,f
33,42264917,9424170,"کالای با بسته بندی بسیار کثیف و پلمپ باز شده ارسال شد
انگار هر روز از جعبه باز میشده و دوبار داخل جعبه قرار میگرفت.
مرجوع شد.",1,f
35,42142431,9424170,عدم درج سایز بند در مشخصات کالا بنده خریداری کردم اما متأسفانه بند ساعت سایز s بود وعملا بلااستفاده مجبورم از بیرون بند تهیه کنم,5,f
37,41495224,9424170,"عالیه 
مرسی از دیجی کالا",5,f
38,40781251,9424170,خدارشکر خیلی خوبه,5,f
84,43849817,5086666,ممنون از دیجی کالا,4,f
41,43830770,7474345,"این لپ تاپ به نسبت قیمت برای کار های سبک عالیه، باتریش 5 ساعت جواب میده و سخت افزاری هم به جز cpu عالیه به نسبت قیمت و رقباش
روش سیستم عامل Endless هست که یک سیستم عامل لینوکس بهتره تعویض کنید، برای ویندوز در حین بوتیبل کردن فلش gpt و UEFI فلش رو بوتیبل کنید و واس وارد شدن به محیط بوت منو(بایوس) کلید esc رو نگه دارید بعد دکمه روشن شدن لپ تاپو بزنید.
من که راضی بودم عالیه",5,f
42,43821658,7474345,راهندازیش سخت نیست ,4,f
43,43796234,7474345,"لپ تاپ اقتصادی ایسوس کاملا برای استفاده های روزمره کافیه.چون یه سیستم نسل دو در اختیارمون هست میزاره ، نباید انتظار تحمل کار گرافیکی سنگین رو ازش داشته باشیم.ویندوز ۱۱ رو بخوبی هرچه تمام تر اجرا میکنه.کیفیت صفحه و صدا فوق العاده نیست و راضی کنندست.دی وی دی رام نداره .همچنین کابل لن هم ساپورت نمیشه.
پیشنهاد میکنم بعد خرید ، یه هارد اس اس دی بهش اضافه کنید که سرعت سیستم بالاتر بره.
در کل با در نظر گرفتن قیمتش ،خیلی هم خوبه",4,f
45,43765949,7474345,من خیلیییی راضی ام ...خیلی ... قسمت عالی ی لبتاب خوب,5,f
47,43735450,7474345,آشغال به تمام معنا,1,f
49,43708861,7474345,نسبت به قیمتش عالیه,5,f
50,43687120,7474345,"سلام دوست خدمت دوستان من این لپ‌تاپ را خریداری کردم و کاملا راضی هستم خیلی کیفیت خوبی داره نسبت به قیمتش

چند توصیه مهمی دارم براتون
جهت سرعت بخشی به سیستم از ویندوز ۱۰ لایت استفاده کنید و دوستانی که میگم وای فای کار نمیکنه لطفاً بعد از نصب ویندوز درایو هاشون رو نصب کنید ",5,f
54,43575444,7474345,واقعا عالیه ، به هیچ عنوان خرابی نداره,5,f
56,43523135,7474345,کیفیتش خوبه  سرعتش زیاد,5,f
58,43503574,7474345,خریدش واقعا توصیه میشه,5,f
59,43456521,7474345,با سلام خدمت دوستان گلم من دو ماهیی هسته که این لب تاب رو شمارق دادم و کار زیادی باهاش انجام ندادم به نظر من این لب تاب بسیار خوب میباشد نسبت به قیمتش و دیگه حرفی برای گفتن نمیمونه  و فقط وا فای مشکل داست که اونم با یه کابل شارژر وصل میشه,4,f
62,43805323,9370836,عالی بود خیلی زیبا بدنه استیل در تخفیف عالی,0,f
65,43554138,9370836,من راضی هستم,4,f
67,43395594,9370836,ساعت خوبی هست بخرین,5,f
68,43316557,9370836,باطری زود خالی میشه,1,f
71,43014658,9370836,من ساعتی که تو عکس نشون میداد رو میخاستم نه ی ساعت دیگه رو بفرستید .بعد بگید پلمپ باز شده,1,f
73,42930640,9370836,خیلی بد بود,1,f
75,42776169,9370836,میشد انتخواب های بهتری هم داشت من خریدم که امتحانش کنم راضی کننده نبود ,3,f
81,43851332,5086666,ایرپاد عالیییی بهترین چیزی بود ک تا الان خریدم خیلی راضیمممممم,5,f
90,43841426,5086666,خوبه,3,f
93,43839628,5086666,بسیار عالی اول ۱ خریدم بعد الان ۵ تا خریدم برای دوست و اشنا و ..بسیار عالی پیشنهاد میکنم,5,f
100,43838457,6095670,"خیلی خوبه مت حدودا دو ماهی دارم 
فقط دوستانی که میگن شارژ ۱ تا ۱ و نیم روز بیشتر نگه نمیداره نمدونم چرا ولی مال من حداقل ۳ روز شارژ نگه میداره
و بشخصه میگم که این مدل حریف سری ۸ هم میتونه باشه 
من پدرم واچ ۵ گرفت و فرقی درشون نمیبینم
در کل عالی
ممنون از دیجی کالا ",5,f
102,43831414,6095670,عالیه عالی من یکساله که این ساعت و دارم هر روز بیشتر از روز قبل عاشقش میشم واقعا ساعت خوبیه فقط تفاوت زیادی با واچ 5 نداره که ارزش تعویضشو داشته باشه,5,f
103,43780116,6095670,برا همسرم هدیه گرفتم حالا باید یه مدت استفاده کنه ولی با توجه به تفاوت کمی که با واچ ۵ داره قیمتش مناسب تره,4,f
105,43721251,6095670,عالیه من بعد دو ماه دارم اینو میگم همه ی امکاناتشو راه انداختم خیلی هم خوب کار میکنه,5,f
108,43686585,6095670,عالی ساعت خوب,4,f
109,43677679,6095670,"عالی و درجه یک 
شک نکنید",5,f
111,43671509,6095670,با کیفیت و عالی و بسیار کار راه انداز خصوصا قابلیت پاسخگویی به تماس و پیامک عالی هست ,4,f
112,43612098,6095670,سایز 40 میخواستم 44فرستادند,1,f
114,43600545,6095670,خیلی خفن بود فقط یک چیز بدی که داشت این بود که موقعی که زنگ میزارین، خیلی وقت ها آلارم نمیده,5,f
116,43592424,6095670,دستگاه پلمپ به دستم رسید و بدون مشکل فعال شد,4,f
120,43846901,9188766,"من دو عدد از این کالا خریداری کردم
برای خودم و رفیقم
برای تجربه اول خوب بود
البته برای گوشی من که سامسونگ اس 8پلاس بودم جواب نداد و صدای خروجیش کمه
برای دوستم که گوشی اس 20 داشت صداش فوق العادس
واقغا هم جلوی صدای محیط میگیره
در کل تجربه خوبیه",4,f
179,43252482,9269728,من این ساعت را برای همسرم خریدم و از خریدم راضی هستم. ,5,f
645,41724274,3641030,راضی هستم خوبه بخریدد,5,f
122,43824537,9188766,توصیه میکنم برای خرید نویز کنسلینگش خوبه قشنگ توی گوش وایمسته و برای ورزش هم خوبه,5,f
126,43764045,9188766,"با سلام و عرض ادب،

این نظر را پس از یک هفته استفاده از Buds 2 pro سامسونگ می‌نویسم. بسته‌بندی محصول پلمپ بود. دستگاه ساخت ویتنام است. سامسونگ پیشنهاد می‌کند برای اولین بار دستگاه را کامل شارژ و سپس استفاده کنید. سرعت شارژ کیس قابل تحمل است و حداقل برای استفاده من مشکلی ایجاد نمی‌کند. سرعت شارژ بادز سریع و خوب است. در کل من با شارژ دستگاه مشکلی ندارم، هرچند که باتری هرچه بزرگ‌تر، بهتر. بعد از شارژ اول برنامه Samsung Wearables را نصب کنید تا به تنظیمات و قابلیت های مختلف دستگاه دسترسی پیدا کنید. اتصال به موبایل، تبلت و کامپیوتر سریع و راحت است و مشکلی در آن دیده نمی‌شود. بادز را که در گوشم گذاشتم متوجه شدم که کاملا در گوش قرار گرفته است و تکان نمی‌خورد. می‌توانید برای بهتر کردن قرارگیری بعد از تست Fit در برنامه Wearables سایز های متفاوت سَری را تست کنید تا ببینید کدام بهتر به گوش شما می‌‌خورد. قابلیت های تاچ متفاوتی برای بادز تعبیه شده است که تقریبا هر کاری را که بخواهید با موبایل انجام دهید، بتوانید با تاچ آن کار را بکنید. ترک بعد، ترک قبل، انواع تنظیمات نویز، پلی/پاز و تغییر ولوم را می‌توانید همزمان انجام دهید، البته برای این کار باید به قسمت Labs در برنامه Wearables بروید و Double tap earbud edge را فعال کنید. این گزینه بسیار جالب است. قابلیت های Labs قابلیت های نهایی شده نیستند و هنوز در حال تست اند، ولی شما می‌توانید آن ها را فعال کنید. این گزینه هم یکی از آن ها است. وقتی فعالش کنید می‌توانید با دو بار زدن به لبه بادز ولوم را تغییر دهید. قسمت جالب این آپشن این است که تا جایی که من دیده‌ام گویا زدن بر روی لبه بادز، مخصوصاً بسته به آناتومی گوش شما، شاید خوب کار نکند، ولی کاربران بسیاری از جمله خود من گزارش کرده‌اند که اگر به جای خود دستگاه، دو بار بالا یا پشت لاله گوش بزنید ولوم تغییر می‌کند. اولین بار که این کار را کردم خنده ام گرفت چرا که واقعا انتظار نداشتم این کار جواب دهد، اما داد! دابل تپ بالای لاله گوش ولوم را تغییر داد! واقعا جالب بود.

کیفیت صدا در کل خوب است. بیس ملموس و نسبتا عمیق و شفاف است. باقی فرکانس ها هم نسبتا شفاف اند، هرچند که بخاطر ایکوالیزیشن شرکت های متفاوت برخی رنج ها متفاوت شنیده می‌شوند. به هر حال در برنامه Wearables چند Preset برای ایکوالیزیشن دارید، ولی دستی نمیتوانید رنجی را زیاد و کم کنید. با این حال می‌توانید از برنامه های و یا حتی ایکوالایزر خود میبایل استفاده کنید، ولی اینجا محدودیت های بادی خودشان را نشان می‌دهند. مثلاً من با برنامه Wavelet بیس را تشدید کردم، ولی تقریبا بعد از میزان Preset بیس بوست برنامه Wearables، نویز زیاد شد و محدودیت ایکوالیزیشن کاملا خودش را نشان داد. در واقع از همان Preset های برنامه نمی‌توانید تفاوت محسوسی در ایکوالیزیشن ایجاد کنید که البته با توجه به رنج قیمت قابل درک است. درباره کیفیت صدا فاحش ترین مسئله برای من تفکیک صدا در برخی ترک ها است. ژانر هایی با ساز های متعدد و یا با صدای بلند مثل بعضی ترک های سمفونی یا برخی ترک های متال، و بعضی زیرشاخه ها، و یا گرانج این موضوع را بیشتر از بقیه سبک ها نشان می‌دهند. مقایسه ای که هم اکنون انجام می‌دهم عادلانه نیست، ولی به هر حال یک مقایسه است. می‌توانم این را بگویم که هنگامی که با Sennheiser HD 560S که یک هدفون پشت باز با قیمت حدود ۲۰۰ دلار است به بعضی از این قبیل ترک ها گوش بدهید، جزئیاتی را خواهید شنید که با این بادز یا نمی‌شنوید یا با دشواری بسیار متوجه آن ها می‌شوید. در کل تفکیک صدا و کمی شفافیت می‌تواند صدای بهتری را ارائه بدهد. با این حال با توجه به قیمت و تمام امکانات دیگری که شما با این بادز در اختیار دارید، کیفیت صدای آن خوب است. تماس با این بادز مشکلی ندارد. صدای میکروفون شفاف است. نویز کنسلینگ خوب است و اکثر صدای های یکنواخت و برخی صدا های غیر یکنواخت مثل صحبت کردن را تا حد قابل قبولی می‌پوشاند. مود Ambient Sound هم به خوبی کار می‌کند. مثلاً آپشنی دارد که اگر شما شروع به صحبت کنید Ambient mode خود به خود فعال می‌شود و صدای موسیقی را کم می‌کند تا بهتر مکالمه تان را بشنوید. البته این آپشن برای صحبت تک کلمه ای حداقل برای من اکثر مواقع فعال نمی‌شود و بعد از دو یا سه کلمه فعال می‌شود.

درآوردن و گذاشتن بادز داخل گوش ساده است. می‌توانید از طریق ویجت Wearables تاچ بادز را خاموش کنید تا هنگام تنظیم جای بادز اتفاقی تاچ رجیستر نکند. در غیر این صورت احتمال دارد که یکی دو تا تاچ رجیستر شود که چیز خیلی مهمی نیست. اگر بادز را از گوش خارج کنید اتوماتیک پاز می‌شوند. با یک باد هم می‌توانید کار کنید ولی بعضی آپشن ها نیاز به هر دو بادز دارند. آپشن ۳۶۰ درجه فرق زیادی ایجاد نمی‌کند. کمی ساند استیج را تغییر می‌دهد. آپشن Head tracking جالب است چراکه وقتی فعالش کنید، سرتان را به هر طرف بچرخانید گویا صدا از همان جایی می‌آید که سرتان در هنگام روشن کردن آپشن به آن جهت بوده است. به شخصه استفاده ای برای این آپشن پیدا نکرده ام.

و اما ورزش. همانطور که گفتم فیت این بادز خیلی خوب است و با این که باله ندارد کاملا در گوش می‌نشیند و تکان نمی‌خورد مگر هنگامی که بسیار عرق کرده باشید و دراز بکشید که در این حالت هم از گوش نمی‌افتد، فقط کمی تکان می‌خورد. در کل برای باشگاه بدنسازی مناسب است. در نظر داشته باشید که گوش من کمی بزرگ و عمیق است. آناتومی گوش هر کس متفاوت است، پس تجربه شما ممکن است فرق کند. خود بادز IPX7 هست و ضد آب و عرق است که برای ورزش کافی است. خود سامسونگ می‌گوید که بادز را قبل از استفاده خشک و تمیز کنید، پس به حرف سامسونگ گوش دهید. برای شارژ از آداپتور مناسب استفاده کنید. من از شارژر ۲۵ واتی سامسونگ استفاده می‌کنم. به ولتاژ آداپتور دقت کنید. قبل از استفاده دفترچه محصول را از اینترنت از سامسونگ بگیرید و بخوانید، سپس استفاده کنید تا با همه چیز آشنا باشید.

در کل Buds 2 pro خوب است و آن را پیشنهاد می‌کنم، خصوصاً اگر دستگاه های سامسونگ دارید.",5,f
129,43714924,9188766,هم خوشکله هم کیفیتش خوبه ,5,f
130,43698739,9188766,فوق العاده بینظیرررر,5,f
133,43608270,9188766,مرسی از دیجیکالا اصل جنس بود باهاش خیلی حال میکنم,5,f
134,43573634,9188766,جنس اصل ممنون از دیجی کالا,5,f
136,43547476,9188766,بسیار عالی راضیم,5,f
219,43685061,4313121,جنسی که فرستاده شده بود fitpro بود که اصلا تم های روی جعبه رو هم نداشت حتی وقتی انگشت رو صفحه نگه میداشتم هیچی نمیشد، آلارم نداشت، از روی هوا ضربان میگرفت:) HW16 نبود!!!,1,f
551,38441811,8421550,ممنونم   موجود بشه خواهشششششششاًًًً,5,f
139,43510023,9188766,اپ galaxy wearable رابط کاربری فوق‌العاده‌ای رو براش ایجاد کرده. معمولا با اولین اتصال به گوشی، این اپ خودکار نصب میشه. امبیانس مودش واقعا عالیه و وویس دیکتشم یا به عبارتی کم شدن موزیک موقع صحبت کردن یا سوال پرسیدن شخص مقابل عالیه. دو ماهه اسفاده میکنم و این نقاط قوتش برام علنی بود. تنها مشکلی که باهاش دارم اینه که تو گوشم خوب واینمیسه و باید هر چند وقت یه بار بهش دست بزنم تا مطمئن بشم داخل گوشم محکم وایساده. ناگفته نمونه که یه بارم از گوشم افتاد! متاسفانه تو جعبه‌ش سریهای مختلف نبود که بتونم عوضش کنم و این مشل رو احیانا حل کنم.,5,f
144,43847026,3841072,نسبت به قیمتش خوبه,3,f
145,43846796,3841072,نسبت به پول خوبه توجه داشته باشین دوستان تو ایران زندگی می‌کنیم و توقع خیلی زیادی نمیشه از اجنساس داشت اما این نسبت به پول میارزه,4,f
147,43845976,3841072,کاملا بدرد نخور نقص فنی هم داشت ب هیچ وجه نخرید,1,f
150,43843988,3841072,نسبیت به قیمتش خوبه,4,f
160,43843053,9269728,این ساعت در بسیاری از بررسی های به عنوان ساعت برتر در کنار ساعت های اپل و شیائومی معرفی شده. یکی از تفاوت های بسیار خوب آن امکان سنجش میزان اکسیژن خون در هنگام خواب است که برای کسانی که دچار وقفه تنفسی در حین خواب هستند میتواند به عنوان کمک و راهنمای خوبی باشد اما مشکل اصلی آن در عدم برقراری ارتباط با بسیاری از موبایل های برند دیگر است. در هنگام خرید به این موضوع خیلی دقت کنید.,4,f
161,43810987,9269728,شیک،خاص،درجه یک,5,f
162,43810594,9269728,پرفكت ، زيبا و دوست داشتني و پركاربرد,5,f
163,43783392,9269728,ساعت خوبیه. منتها برای شارژش باید یه شارژر تایپ سی بگیرین که اونم حدود ۵۰۰ میشه,4,f
164,43753528,9269728,فوق العاده کاربردی و با کیفیت ,5,f
166,43663673,9269728,واقعا از لحاظ همه چی عالیه. نکته منفی نداره,5,f
170,43513115,9269728,من میخام بخرم اگه راه داره قیمت رنگ مشکی رو پایین بیارید,2,f
171,43453512,9269728,عالیه بخرید مخصوصا اگر گوشی سامسونگ دارید,4,f
172,43439970,9269728,"من که واقعا دوسش دارم
باتری عالی
سنسورا دقیق",5,f
174,43402546,9269728,اول تصمیم داشتم 40mm بخرم دیدم توی یکسری موارد نسبت به 44mm ضعیف تر پس همین مدل تهیه کردم(یکم از موچ دستم بزرگتر اما من راضیم ازش),5,f
177,43323320,9269728,براحتی بدستم رسید و با بسته بندی خوب ,5,f
178,43278209,9269728,"دوستان به نظرم این بهترین ساعتی هست که برای گوشی های اندروید ساخته شده و امکانات خوبی داره 
از طرفی کیفیت ساخت بالایی هم داره و نسخه ای که من دریافت کردم ساخت ویتنام بود
با گوشی های اندروید و بخصوص سامسونگ به خوبی متصل میشه 
هفقط این که با شرایط فعلی که دسترسی به پلی استور سخت شده یکم برای نصب برنامه اذیت میشین که امیدوارم مشکلش به زودی برطرف بشه
انشالله همه مردم توانایی خرید بهترین محصولات رو از بهترین برند ها که دلشون میخواد رو داشته باشن",5,f
182,43820813,7380557,"من حدود یک هفته میشه که این ساعت رو از دیجی کالا سفارش دادم 
خیلی خوشحال هستم که بعد از کلی تحقیق تونستم به چیزی برسم که دوست داشتم 
هم از لحاظ ظاهر زیبا و هم از لحاظ پشتوانه عااالی که داره 
اگر به دنبال یک ساعت با طرح اپل واچ هستید این اشتباه بزرگ رو نکنید
 اون ساعت هافیک هستش و فقط ظاهر زیبای رو داره اما نمیتونه کارامد خوبی رو داشته باشه
 من خودم از اون دسته آدم های بودم که به دنبال کپی اپل واچ میگشتم
 ولی خداروشکر که این اشتباه رو نکردم و تونستم با این رنج قیمت به ساعتی که مورد علاقه من بودش بخرم 
ساعتی با ظاهر زیبا شیک و ظرافت خاصی رو داره این توجه من رو به خودش جلب کرد
 چیزی که کپی اپل واچ این ظرافت رو نداره 
و ساعت شیائومی هم ظاهر زیبا و شیک رو داره و هم پشتوانه عااالی   و باطری عااالی که میتونید از خرید محصولات کاملا لذت رو ببرید و رضایت کامل رو داشته باشید",5,f
185,43769687,7380557,توصیه میکنم بخرید,5,f
187,43764943,7380557,در کل عالیه پیشنهاد میکنم. بخرید خیلی خیلی خوبه و نظرات منفی هم توجه نکنید,5,f
188,43761432,7380557,راضی کننده اس...,4,f
189,43760124,7380557,بند این ساعت کم تو بازار هس,3,f
191,43716142,7380557,شارژ دهی خوب. امکانات کامل. واقعا زیبا,5,f
192,43704592,7380557,فعلا که خوب بوده فقط تنها مشکلش اینه که فارسی پشتیبانی نمیکنه,4,f
193,43704455,7380557,سلام ،وزن ابعاد طرح و کیفیت بدنه قابل قبله ولی تاچ خوبی ندارد با حرکت مچ دست باید خیلی راحت و سریع صفحه نمایش روشن بشه ولی نمیشه چندین بار باید ساعت رو تموم بدم,2,f
194,43697818,7380557,این ساعت صفحه نمایش خوبی دارد برای فارسی کردن بعد یه مدت بروزرسانی فارسی میشود,5,f
196,43645532,7380557,یک ماهی میشه که خریدیم راضی هستیم.,5,f
198,43550104,7380557,راضی ,4,f
199,43537817,7380557,OK,5,f
201,43848663,4313121,برنامه های داخلش کم است. خیلی لگ داره.ارزش خرید ندارد.,1,f
204,43822003,4313121,یه ساعت معمولی خریدین همین,3,f
207,43784082,4313121,خیلی خیلی خوبه صدای فوق‌العاده,5,f
212,43757581,4313121,ارسال عالی,1,f
213,43748520,4313121,"اصلا   ساعت HW16 نبود ولی روی  جعبه نوشته بود HW16. از دیجی کالا انتظار نداشتم و به این دلیل مرجوع کردم. 
عزیزم،  اگر نداری کالا را ناموجود بزن نه این جوری!!  
و به امید  دوربین و تماس نخرین چون همه ی ساعت های هوشمند فقط ضربان قلب میگیرن با قدم شمار و...",2,f
214,43744202,4313121,"عالی 
من برا خودم خریدم الان یه ماه شده راضیم شارژرشمقشنگه زیبا 
بسیار شیک مناسب مردا و زنا",5,f
218,43685531,4313121,من راضی هستم از این ساعت,5,f
222,43676599,9050914,"سلام دوستان روزتون بخیر من تجربه 6 ماهه خودم از این لپ تاپ رو در اختیارتون میزارم و امیدوارم به دردتون بخوره.
اول از همه بگم که منم مثل خودتون برای خرید لپ تاپ با این وضعیت اقتصادی وسواس خیلی زیادی به خرج دادم و بین این مدل با تاف گیمینگ ام اس ای و ایدیاپد لنوو ( تو رنج قیمت خودشون ) واقعا گیح شده بودم و در نهایت به خاطر کانفینگ بهتر و جدیدتر بودن ویکتوس رو انتخاب کردم.
از لحاظ کارایی میتونم بگم بهتون اصلا کم نمیاره و من فتوشاپ و بازی هیچ مشکلی نداشتم و به لطف 144hz بودن صفحه نمایش حس خوبی هم میگیرین ازش و همه چی روون و بدون لگ و بدون مشکله
من دیدم دوستان مزایای این لپ تاپ رو خیلی گفتن بخاطر همین 3 تا از ایرادهایی که من باهاش برخورد داشتم رو میگم و اولیش و بزرگ ترینش نرم افزار مربوط به مدیریت رم و گرافیک سیستم که همون omen gamig hun هست بخاطر تحریم بودن باید با فیلترشکن اجرا بشه و مطمئنم اذیتتون میکنه و گاهی باز میشه و گاهی باز نمیشه
بعدیش چون این لپ تاپ کاستوم شده نیست و مستقیم از کارخونه به دست ما رسیده حروف فارسی حک نشده روی کیبوردش و برچسب هم نمیشه زد چون اگر دقت کنین حروف انگلیسی دقیقا وسط کلیدها قرار گرفتن و برچسب هم زده بشه ، بک لایت اونو نمیتونه پوشش بده اما خب من کلا با کیبورد از لپ تاپ استفاده میکنم و این مشکل زیاد جدی نبود برام
و اخریش هم تعداد پورت های این لپ تاپه در مقایسه با رقباش ، خب 2 تا پورت usb3 داره و یک دونه تایپ c و جک هندزفری و شبکه و تمام
اگر موس و کیبورد استفاده میکنین و کولپد هم دارین مسلما به هاب نیاز پیدا میکنین همینطوری که خودم مجبور شدم هاب بخرم
در نهایت ایرادهایی که گرفته شد قابل رفع هستن و طوری نیست که بخواد شمارو منصرف کنه از خرید همچین لپ تاپ مقرون به صرفه ای البته من 6 ماه گذشته 23500 خریدم
ممنون وقت گزاشتین امیدوارم به دردتون خورده باشه",5,f
224,43659548,9050914,"من حدود 20 روز پیش از ترس گرون شدن نسخه 32 گیگ رم و 1 ترابایت SSD این مدل رو گرفتم 26 تومن که واقعا برد کردم. 
نقاط ضعف و قوت رو دوستان گفتن که اکثرا به رم و هارد اشاره کردن ولی این نسخه ای که من دارم میشه گفت جبران شده و من توی اکثر گیم هایی که دارم مثل وارزون و فیفا با کیفیت معقول حدود 80-100 فریم میگیرم که واقعا جوابه. لپ تاپ بعد از 1 ساعت وارزون حدودا دمای گرافیک به 73 میرسه که حس میکنید گرما رو منتهی دمای معقولی هست، با تهیه یه کول پد خوب میتونید دما رو بیارین پایین که مشکلی هم پیش نیاد. ولی در کل پیشنهاد میکنم کلا با لپ تاپ ها بازی ها رو روی نهایت کیفیت بازی نکنید چون بالاخره آسیب پذیرتر هستن. میشه با کیفیت کمتر و رفرش ریت بالاتر تجربه ی خوبی گرفت از بازی.
در مورد اسپیکر هم بیس آنچنانی نداره ولی صدای با کیفیتی ارائه میده.
کیفیت صفحه جوابگوی نیاز شما هست، 144 هرتز واقعا روونی رو حس میکنید و توی محیط بسته مشکلی از لحاظ نوردهی نخواهید داشت ولی توی محیط باز و پر نور شاید یکم نور صفحه اذیت کنه.
تاچ پد و کیبورد خوبن و مشکلی توشون نیست.
شارژ باتری زود خالی میشه که کلا پیشنهاد میکنم با باتری بازی نکنید چون گرافیک و سی پی یو قدرت برق زیادی لازم دارن تا بتونن بهینه کار کنن.
از لحاظ طراحی و جنس بدنه و وزن هم نه خیلی خوبه نه بد، باید یکم احتیاط کنید و مراقبش باشید. نسبت به قیمتی که پرداخت کردم واقعا از برند های دیگه بهتر از این پیدا نمیکنید با این امکانات.",5,f
226,43650652,9050914,عالي ,5,f
229,43632072,9050914,"از بازار ازاد خریدم با اینجا اختلاف قیمت زیادی داشت
صدای فن کمه ولی مثل سوت زدن میمونه جالبه محل cpu gpu اصلا گرم نمیشه بعضیا میگفتن مشکل گرما داره
 براش کولپد بگیرین 
پورتاش کمه ۲تا یواس‌بی هست براش یواس‌بی هاب بگیرین
باتریش هم ضعیفه که‌ مهم نیست بلید هر لپتاپی رو تو شارژ استفاده کرد طراحیش خیلی جذابه ولی جای لک میمونه
رفرش ریتش هم عالیه ویندوزش اورجیناله 

نکته‌ای که بهش اشاره نشده من ندیدم یدونه هم گرافیک مجتمع Intel UHD داره تو کارای عادی ازون استفاده میشه می تونین اونو هم تغییر بدین به همون ۱۶۵۰ 
شارژرش هم سبک و جمع و جوره 
وزن لپ‌تاپ یکم زیاده 
سرعتش عالیه تو ۹ ثانیه روشن میشه آماده به‌کار 
حافظه‌ش کمه می تونین ارتقا بدین
کیبوردشم عالیه تاچ پدشم که عالیه
کاش کیبوردش نور پس‌زمینه داشت
اسپیکراش هم که بینظیرن واقعا

پورتاش خیلی سفتن باید زور بزنی خیلیم زور بزنی 

کلا برای کارای رندرگیری و بازی در حد متوسط به بالا عالیه 
پیشنهاد می کنم",5,f
230,43576050,9050914,خوبه,4,f
1846,38052111,98179,عالی,5,f
233,43554273,9050914,لطفا دوباره تخفیف بزارید,5,f
237,43470531,9050914,"عالیه
توصیه میکنم",5,f
